[6926, 101010] [31068, 52991]
[31972, 52830] [118091, 82047]
[118682, 82983] [107860, 191000]
[118979, 82947] [288061, 106167]
[288960, 106911] [350049, 150106]
[350224, 150986] [348948, 199040]
[350942, 150972] [413067, 168221]
[288938, 106005] [316138, 35991]
[316994, 35045] [374000, 20786]
[413732, 168999] [457030, 287039]
[457993, 287971] [478051, 358018]
[478015, 358224] [410995, 359273]
[410009, 359635] [370940, 350959]
[370118, 350028] [322939, 333999]
[322096, 333822] [292927, 382038]
[478995, 358119] [602027, 350768]
[602951, 350117] [626091, 323953]
[626987, 323056] [667082, 299975]
[626143, 323000] [600848, 249908]
[667957, 299963] [753025, 383074]
[753998, 383917] [807023, 421022]
[807969, 421996] [827008, 436151]
[827088, 436995] [813851, 514025]
[813030, 514991] [771993, 538117]
[771912, 538980] [777080, 573005]
[777028, 573989] [762745, 655033]
[762001, 655986] [673988, 664279]
[673019, 664199] [639997, 658765]
[639205, 658042] [629791, 623979]
[629829, 623002] [655063, 574915]
[655117, 574048] [624834, 537992]
[624704, 537001] [648051, 483961]
[648983, 483524] [668004, 484442]
[629016, 623819] [547981, 644221]
[624026, 537394] [537977, 538200]
[537017, 538863] [519997, 556038]
[537836, 538005] [548041, 483970]
[673948, 664984] [723231, 741023]
[723012, 741721] [662977, 757150]
[662912, 757997] [703135, 811040]
[703990, 811976] [756117, 840048]
[756195, 840977] [728939, 893019]
[728038, 893954] [718995, 895129]
[718067, 895933] [704777, 930044]
[827955, 436902] [935000, 451523]
[935982, 451049] [944141, 439986]
[935901, 451786] [962007, 464168]
[962059, 464982] [961700, 491001]
[961227, 491995] [929944, 541045]
[929080, 541916] [900897, 591021]
[944976, 439003] [966105, 376967]
[966992, 376009] [977103, 306990]
[977982, 306042] [986000, 290930]
[977014, 306931] [931992, 308168]
[292979, 382966] [334100, 500036]
[334998, 500915] [393110, 548087]
[393138, 548972] [391693, 604001]
[391019, 604881] [310998, 617103]
[310010, 617077] [309993, 616958]
[309116, 616978] [264885, 648002]
[264099, 648042] [221851, 588888]
[221135, 588937] [161915, 636056]
[161074, 636987] [141684, 711023]
[141990, 711833] [169016, 724050]
[169893, 724984] [209016, 758060]
[209156, 758981] [190843, 842030]
[190999, 842757] [253014, 868066]
[253940, 868043] [270218, 829991]
[270969, 829344] [281022, 827844]
[281836, 827981] [291001, 836015]
[291887, 836012] [355012, 767938]
[355965, 767037] [421071, 716930]
[421985, 716846] [447109, 726056]
[447985, 726998] [446100, 805004]
[446784, 805027] [529088, 778935]
[141015, 711976] [21995, 745052]
[21681, 745964] [37033, 859029]
[37679, 859990] [35617, 894015]
[35859, 894998] [40135, 942008]
[40993, 942826] [84053, 954007]
[84260, 954947] [53975, 999026]
[374990, 20797] [506062, 30053]
[506989, 30990] [595008, 41173]
[595861, 41014] [596635, 21954]
[756929, 840937] [869052, 912002]
[869967, 912215] [945011, 909802]
[945920, 909907] [995003, 942002]
[446193, 805990] [418825, 938002]
[418906, 938976] [422075, 946035]
[900107, 591973] [890915, 729011]
[890978, 729065] [941003, 724841]
[161120, 636028] [97968, 512994]
[97942, 512011] [127152, 467901]
[97032, 512256] [41883, 467661]
[41130, 467028] [7758, 337954]
[600954, 249017] [705205, 145941]
[705954, 145056] [833019, 115959]
[833931, 115986] [902017, 153137]
[902975, 153037] [924045, 72913]
