[2864, 585913] [44020, 659025]
[44991, 659959] [75045, 712000]
[75994, 712045] [114006, 701761]
[114995, 701273] [140002, 694927]
[140985, 694998] [141272, 711000]
[141989, 711990] [169001, 724129]
[169834, 724992] [209069, 758027]
[140802, 694014] [161000, 636929]
[161967, 636148] [202001, 634780]
[202980, 634011] [213005, 627961]
[213886, 627078] [221112, 588941]
[213998, 627959] [264084, 648040]
[264921, 648042] [309010, 616935]
[309955, 616955] [310071, 617020]
[310998, 617949] [328066, 646089]
[309995, 616013] [321244, 558998]
[321026, 558171] [285985, 550958]
[285967, 550037] [314006, 503990]
[314987, 503060] [334009, 500563]
[328775, 646991] [368060, 692068]
[368993, 692987] [421005, 716027]
[421999, 716937] [447065, 726075]
[447986, 726988] [455001, 734153]
[75003, 712994] [21965, 745023]
[455288, 734982] [446889, 805000]
[446021, 805054] [401972, 789965]
[401044, 789115] [355979, 767902]
[321993, 558180] [393020, 548675]
[393996, 548907] [425012, 555092]
[425986, 555062] [434090, 549996]
[434981, 549013] [441004, 512968]
[393251, 548988] [391484, 604016]
[391985, 604981] [458079, 618103]
[458934, 618891] [472037, 622104]
[472997, 622072] [505076, 593905]
[505983, 593059] [523013, 587916]
[523216, 587025] [519975, 556951]
[519955, 556022] [537033, 538990]
[523630, 587976] [527060, 625006]
[527865, 625946] [547015, 644012]
[537922, 538003] [548113, 483975]
[548973, 483228] [557093, 476982]
[557037, 476009] [535979, 450988]
[535944, 450033] [549054, 437995]
[535075, 450015] [477996, 414804]
[477350, 414005] [478723, 358998]
[478892, 358043] [487026, 297948]
[487878, 297019] [488289, 282985]
[488002, 282792] [457989, 287016]
[488998, 282878] [538013, 292083]
[478001, 358907] [410992, 359042]
[410000, 359007] [370993, 350926]
[370096, 350000] [322941, 333983]
[322039, 333976] [313962, 355059]
[313037, 355995] [292913, 382045]
[292800, 382984] [297003, 416002]
[297037, 416973] [255975, 423037]
[538945, 292085] [600079, 249964]
[600955, 249953] [626004, 323030]
[626078, 323921] [602905, 350008]
[626973, 323109] [667021, 299964]
[209982, 758981] [235052, 833002]
[235978, 833294] [270011, 829911]
[270956, 829097] [281009, 827883]
[281933, 827881] [291085, 836042]
[235973, 833924] [253025, 868007]
[235005, 833945] [190993, 842135]
[547971, 644139] [629017, 623800]
[629790, 623958] [639013, 658007]
[639962, 658850] [673016, 664263]
[673911, 664083] [695117, 624980]
[629905, 623012] [655076, 574980]
[655069, 574039] [624980, 537948]
[655976, 574031] [687143, 529949]
[687001, 529018] [668815, 484985]
[668007, 484174] [648979, 483975]
[695955, 624907] [745007, 649089]
[745961, 649973] [762045, 655031]
[762651, 655993] [763230, 668011]
[745950, 649066] [777065, 573976]
[777001, 573017] [771860, 538974]
[771984, 538047] [813009, 514880]
[777993, 573778] [844014, 609082]
[844983, 609053] [900027, 591929]
[900913, 591087] [929136, 541986]
[929975, 541002] [961196, 491999]
[961496, 491002] [962199, 464998]
[962001, 464030] [935965, 451980]
[935985, 451014] [944056, 439998]
[935033, 451057] [875982, 433941]
[875845, 433075] [892042, 389906]
[875021, 433613] [827978, 436088]
[827059, 436013] [807919, 421989]
[807004, 421038] [753984, 383727]
[944802, 439011] [966010, 376955]
[966966, 376002] [976154, 329983]
[976688, 329003] [977260, 306994]
[977973, 306049] [986067, 290965]
[977015, 306982] [931999, 308190]
[900057, 591994] [896883, 667024]
[896194, 667973] [861987, 688055]
[861979, 688992] [890008, 729062]
[890982, 729007] [941032, 724823]
[941998, 724014] [989025, 702962]
[890901, 729969] [912005, 808049]
[763112, 668978] [723934, 741071]
[723034, 741992] [711938, 760092]
[711000, 760026] [662996, 757418]
[662017, 757516] [617980, 757067]
[617067, 757728] [589988, 798051]
[589017, 798019] [580963, 796808]
[711090, 760947] [703848, 811006]
[580019, 796122] [529966, 778920]
[703972, 811965] [756004, 840050]
[756068, 840992] [728830, 893015]
[728009, 893625] [718986, 895046]
[718008, 895944] [704665, 930001]
[728956, 893982] [787003, 905159]
[787984, 905051] [815040, 888937]
[815948, 888987] [832050, 932000]
[832967, 932905] [866097, 949027]
[866996, 949016] [869293, 912996]
[866902, 949953] [881019, 998003]
[869989, 912749] [945013, 909911]
[945990, 909886] [995013, 942103]
[704011, 930985] [646939, 982066]
[255000, 423951] [195985, 485095]
[195050, 485026] [173936, 466895]
[173003, 466615] [127990, 467071]
[127014, 467921] [102974, 480069]
[102235, 480959] [97756, 512028]
[127825, 467002] [139069, 423999]
[195094, 485931] [156968, 511149]
[156046, 511123] [154971, 510907]
[139023, 423577] [88974, 426089]
[88017, 426978] [41885, 467002]
[139951, 423020] [187005, 360974]
[187111, 360006] [186471, 313986]
[186042, 313018] [182850, 285977]
[182983, 285524] [222000, 286716]
[182965, 285009] [196262, 222991]
[196325, 222008] [193962, 195998]
[193003, 195034] [129985, 161846]
[129071, 161930] [107957, 191051]
[107012, 191034] [61940, 181989]
[61016, 181092] [38987, 179823]
[38010, 179017] [9913, 157964]
[9990, 157002] [19084, 125909]
[19113, 125063] [6859, 101998]
[6981, 101112] [31011, 52976]
[129199, 161003] [118567, 82979]
[118923, 82062] [145114, 60961]
[145996, 60236] [185007, 53767]
[185058, 53063] [168989, 18954]
[168960, 18084] [224014, 8952]
[224991, 8857] [272057, 55028]
[272982, 55049] [316007, 35941]
[272934, 55992] [286160, 105013]
[286952, 105950] [288004, 106167]
[316996, 35211] [374045, 20947]
[288908, 106860] [350045, 150005]
[350983, 150870] [372018, 159109]
[372979, 159770] [413025, 168050]
[372032, 159947] [348920, 199021]
[413830, 168997] [448113, 200041]
[448995, 200044] [481071, 144978]
[481922, 144008] [492013, 142643]
[492927, 142867] [518181, 177034]
[88665, 426011] [93403, 343964]
[93024, 343252] [7978, 337779]
[291984, 836785] [362045, 886073]
[362976, 886986] [418034, 938022]
[418893, 938965] [422052, 946020]
[753927, 383022] [798021, 303931]
[798082, 303046] [773852, 270994]
[773986, 270024] [786093, 263865]
[773030, 270000] [721943, 189955]
[721030, 189020] [705934, 145985]
[374988, 20319] [474001, 22421]
[474978, 22990] [506004, 30268]
[506963, 30609] [595028, 41055]
[595670, 41052] [596248, 21981]
[986117, 290020] [958800, 191999]
[958024, 191051] [902934, 153975]
[902075, 153088] [833979, 115990]
[833031, 115116] [802939, 99999]
[902813, 153012] [924001, 72914]
[802038, 99000] [725984, 31879]
[21872, 745982] [37041, 859026]
[37056, 859990] [35942, 894004]
[35961, 894907] [64001, 900041]
[37016, 859858] [3982, 869018]
[64032, 900849] [40999, 942048]
[40146, 942964] [23917, 972006]
[23979, 972947] [53161, 999015]
[40987, 942795] [84065, 954085]
[84998, 954915] [192012, 985254]
[192986, 985953] [279034, 996052]
[646044, 982011] [543930, 924990]
