[2982, 585018] [15101, 565949]
[15815, 565064] [28012, 543912]
[28979, 543046] [97074, 512789]
[97979, 512029] [102077, 480969]
[102964, 480012] [127031, 467923]
[127985, 467958] [132002, 472022]
[132959, 472055] [142037, 462995]
[142987, 462835] [173037, 466035]
[173926, 466845] [195014, 485082]
[142235, 462002] [139852, 423985]
[132959, 472927] [154032, 510009]
[154983, 510948] [156077, 511012]
[156055, 511944] [153953, 520016]
[195981, 485013] [233036, 454795]
[233954, 454064] [255003, 423910]
[255981, 423006] [297033, 416865]
[297296, 416011] [292967, 382993]
[292921, 382030] [313012, 355998]
[313806, 355091] [322156, 333940]
[322980, 333045] [357006, 324814]
[357007, 324037] [353843, 314980]
[357803, 324962] [370066, 350031]
[370994, 350958] [410045, 359021]
[353180, 314029] [337934, 271985]
[337962, 271070] [361009, 264785]
[322057, 333061] [290990, 293974]
[139014, 423652] [88993, 426135]
[88040, 426801] [58996, 439147]
[58120, 439966] [41957, 467051]
[41003, 467001] [18977, 464854]
[195962, 485907] [245096, 508096]
[245970, 508904] [285062, 550015]
[285993, 550854] [321006, 558064]
[285895, 550077] [314017, 503946]
[314993, 503207] [334015, 500691]
[334987, 500083] [371065, 466976]
[371985, 466349] [409038, 463990]
[409927, 463025] [416046, 452988]
[416982, 452007] [460010, 428978]
[460897, 428009] [477091, 414899]
[477938, 414029] [504086, 392988]
[504913, 392027] [526010, 357924]
[504049, 392017] [478937, 358970]
[478951, 358055] [482013, 355996]
[285016, 550934] [229999, 565017]
[229046, 565998] [221969, 588022]
[221039, 588978] [213990, 627010]
[213023, 627960] [202995, 634092]
[202017, 634940] [161998, 636172]
[161011, 636009] [136984, 630785]
[136085, 630042] [123950, 596974]
[213944, 627960] [256017, 652122]
[256998, 652191] [264010, 648973]
[264948, 648982] [282044, 653118]
[282856, 653004] [310002, 617934]
[310013, 617045] [309948, 616990]
[310992, 617997] [328044, 646066]
[328975, 646999] [340092, 686050]
[340947, 686985] [368010, 692395]
[368993, 692995] [404014, 705082]
[404992, 705941] [421120, 716016]
[421958, 716994] [447013, 726243]
[447942, 726989] [455016, 734024]
[404921, 705003] [424044, 678958]
[455992, 734251] [491019, 712910]
[491982, 712831] [516053, 726126]
[516960, 726026] [545015, 712830]
[545489, 712000] [546081, 678991]
[546956, 678951] [576003, 694102]
[576968, 694961] [591062, 704044]
[591279, 704998] [584904, 734015]
[584081, 734929] [570899, 763004]
[546602, 678024] [547027, 644974]
[547922, 644021] [561152, 627981]
[547058, 644023] [527880, 625991]
[570982, 763974] [580070, 796005]
[580993, 796767] [589025, 798148]
[580032, 796966] [555904, 815026]
[555099, 815008] [536999, 783947]
[536001, 783066] [529956, 778952]
[527418, 625004] [523905, 587983]
[523007, 587898] [505982, 593269]
[505040, 593010] [497965, 589738]
[523265, 587058] [519910, 556988]
[519952, 556084] [537048, 538988]
[584885, 734986] [617002, 757008]
[617999, 757077] [651003, 740979]
[651865, 740998] [662106, 757023]
[497019, 589993] [472991, 622054]
[472014, 622088] [458984, 618901]
[458015, 618982] [430999, 620235]
[430033, 620057] [426728, 606995]
[426027, 606038] [391992, 604705]
[529006, 778116] [484996, 774903]
[484024, 774966] [446937, 805035]
[446973, 805971] [459177, 825010]
[459998, 825974] [503008, 829430]
[446024, 805051] [401967, 789905]
[401050, 789000] [392949, 759937]
[401052, 789946] [380961, 815085]
[392003, 759919] [355988, 767054]
[355007, 767089] [335979, 759898]
[335000, 759453] [303992, 760124]
[303005, 760910] [257976, 766129]
[257001, 766083] [209980, 758833]
[209005, 758979] [188984, 763015]
[209005, 758979] [205875, 783030]
[188019, 763044] [169886, 724996]
[169779, 724000] [176015, 705965]
[169018, 724139] [141960, 711925]
[141145, 711026] [140877, 694991]
[140995, 694066] [146025, 690862]
[140033, 694937] [114995, 701039]
[114014, 701952] [111904, 704017]
[114069, 701010] [112969, 695996]
[112892, 695050] [115041, 679992]
[111005, 704961] [85914, 710134]
[85001, 710905] [75998, 712060]
[75005, 712093] [49925, 681999]
[49000, 681030] [44953, 659942]
[176930, 705044] [215102, 683995]
[662995, 757926] [711014, 760394]
[711987, 760018] [723003, 741916]
[723056, 741030] [717910, 696991]
[426227, 606009] [425334, 555998]
[425939, 555066] [434014, 549983]
[425019, 555039] [411935, 547918]
[411015, 547155] [405989, 540923]
[405002, 540988] [393937, 548060]
[405951, 540185] [423055, 520974]
[423940, 520086] [441010, 512903]
[434976, 549102] [467044, 541771]
[711032, 760975] [703859, 811004]
[717187, 696042] [690957, 650997]
[690083, 650848] [673977, 664115]
[690013, 650032] [676963, 629999]
[676987, 629181] [695002, 624874]
[673001, 664036] [639945, 658887]
[639097, 658043] [625974, 627980]
[625998, 627050] [629004, 623902]
[629953, 623052] [650070, 598991]
[650889, 598025] [655289, 574998]
[650983, 598219] [678004, 593601]
[678962, 593077] [698021, 589894]
[655092, 574024] [637921, 534949]
[637040, 534926] [624972, 537162]
[624114, 537089] [604883, 503997]
[604992, 503038] [607095, 483995]
[607026, 483115] [577983, 474740]
[577018, 474847] [565986, 487018]
[565040, 487078] [557930, 476932]
[557034, 476918] [548829, 483006]
[557126, 476071] [535926, 450902]
[535981, 450087] [549031, 437922]
[607990, 483171] [648017, 483145]
[648972, 483245] [668005, 484163]
[668827, 484977] [687004, 529025]
[717938, 696023] [763007, 668902]
[763266, 668027] [762926, 655998]
[762000, 655031] [745985, 649923]
[762758, 655001] [775215, 608983]
[775701, 608026] [777271, 573992]
[777329, 573004] [771940, 538997]
[771023, 538026] [754936, 511969]
[775983, 608947] [818005, 610087]
[818988, 610004] [824127, 601991]
[824998, 601872] [844014, 609197]
[844928, 609978] [853258, 629020]
[771981, 538016] [813033, 514889]
[813946, 514038] [823074, 485991]
[823999, 485495] [851011, 484565]
[823983, 485027] [827389, 436988]
[827078, 436097] [807988, 421925]
[827905, 436041] [850047, 398950]
[850009, 398094] [831972, 369946]
[831611, 369011] [835253, 356988]
[850971, 398984] [875086, 433076]
[850980, 398135] [892069, 389961]
[892798, 389010] [893257, 353982]
[893984, 353987] [923022, 359008]
[923924, 359005] [964100, 342912]
[964961, 342062] [976004, 329967]
[976246, 329002] [977310, 306968]
[977851, 306053] [986027, 290992]
[964687, 342987] [966011, 376004]
[966999, 376947] [993006, 384004]
[977026, 306862] [931992, 308400]
[931004, 308512] [907994, 307730]
[75005, 712998] [43935, 758078]
[43027, 758016] [21972, 745921]
[21065, 745928] [10946, 757065]
[10859, 757997] [11120, 771028]
[43960, 758852] [73002, 788016]
[907105, 307005] [878965, 259985]
[668671, 484005] [670086, 428999]
[853997, 629905] [896024, 667125]
[896966, 667995] [903084, 676016]
[896955, 667111] [911067, 635996]
[911974, 635874] [943001, 637227]
[896031, 667923] [861943, 688043]
[911165, 635026] [900849, 591973]
[861946, 688864] [890102, 729005]
[890995, 729031] [941029, 724954]
[941892, 724017] [956194, 689994]
[956995, 689875] [989080, 702045]
[900865, 591020] [929015, 541990]
[929995, 541586] [951007, 541214]
[951993, 541333] [975016, 539976]
[975199, 539026] [959952, 493982]
[959969, 493047] [961011, 491857]
[961542, 491003] [962458, 464989]
[962008, 464306] [935948, 451927]
[935945, 451018] [944066, 439961]
[851863, 484975] [865245, 540023]
[703148, 811894] [679981, 864004]
[679967, 864961] [718033, 895017]
[718971, 895140] [728037, 893964]
[718069, 895975] [704931, 930001]
[704974, 930885] [722085, 938026]
[704000, 930888] [675951, 938015]
[675770, 938983] [681245, 964032]
[681025, 964947] [654961, 972064]
[654071, 972951] [646949, 982070]
