[997, 212532] [29011, 211684]
[29975, 211015] [38019, 179998]
[38988, 179989] [61008, 181067]
[61921, 181934] [77051, 199030]
[77069, 199957] [69837, 218004]
[77956, 199035] [92071, 182975]
[92982, 182961] [107047, 191013]
[107919, 191996] [117023, 215073]
[38862, 179068] [50112, 155960]
[50061, 155017] [46908, 145969]
[46062, 145054] [19942, 125979]
[19020, 125936] [12866, 136057]
[12262, 136991] [9733, 157029]
[19188, 125010] [14912, 104980]
[14019, 104092] [6989, 101954]
[6062, 101981] [1951, 105020]
[14904, 104017] [27011, 84960]
[27115, 84002] [26897, 66996]
[26975, 66009] [31114, 52961]
[31995, 52261] [48016, 51780]
[48992, 51975] [65080, 65005]
[65022, 65969] [47991, 73032]
[31988, 52032] [33218, 29999]
[31035, 52217] [5999, 47926]
[5041, 47970] [4836, 50005]
[65979, 65975] [79007, 91065]
[79970, 91963] [87068, 99075]
[117199, 215996] [116878, 249007]
[116004, 249022] [98994, 247774]
[116968, 249981] [134001, 251300]
[116018, 249990] [106921, 271008]
[98000, 247840] [74988, 253054]
[87990, 99796] [121007, 106119]
[121978, 106876] [128003, 111026]
[128874, 111984] [131025, 114038]
[131001, 114817] [125984, 118045]
[128899, 111012] [137164, 103991]
[137002, 103008] [133920, 97974]
[131963, 114935] [148054, 124005]
[133066, 97009] [118966, 82927]
[133987, 97072] [152025, 87947]
[148947, 124011] [164005, 109933]
[164983, 109043] [180021, 97939]
[180997, 97939] [189005, 100018]
[189972, 100948] [197030, 106024]
[180825, 97020] [184047, 75992]
[184995, 75923] [200003, 80126]
[184822, 75019] [185194, 53993]
[197980, 106964] [220006, 111004]
[185992, 53029] [198016, 32973]
[152045, 87012] [145878, 60997]
[145970, 60006] [147033, 53996]
[220934, 111995] [223238, 142007]
[147924, 53016] [158015, 22973]
[158990, 22064] [168005, 18847]
[125011, 118991] [119849, 152020]
[119968, 152992] [129042, 161110]
[198980, 32020] [224098, 8971]
[224993, 8949] [225027, 9021]
[225934, 9922] [237023, 23034]
[237986, 23023] [252026, 11972]
[237974, 23943] [258138, 47012]
[258990, 47142] [261043, 45926]
[261966, 45965] [272074, 55007]
[272995, 55688] [299000, 56878]
[299196, 56002] [298985, 39995]
[298970, 39003] [316023, 35878]
[316988, 35985] [330022, 39012]
[330873, 39947] [332263, 44000]
[332974, 44102] [358064, 31994]
[358997, 31273] [373002, 31092]
[373784, 31002] [374290, 20992]
[374002, 20073] [365984, 7923]
[332304, 44986] [327917, 73016]
[327941, 73981] [347040, 88014]
[347992, 88000] [359050, 80950]
[359058, 80030] [356772, 71992]
[359939, 80944] [375036, 93016]
[375082, 93994] [366964, 102085]
[366913, 102998] [382021, 119000]
[382876, 119997] [383000, 133012]
[383968, 133949] [398001, 146005]
[398984, 146985] [413095, 168021]
[383009, 133985] [372909, 159009]
[372001, 159020] [350967, 150980]
[350054, 150992] [339999, 154005]
[339000, 154117] [312994, 144908]
[413997, 168750] [445004, 170319]
[445960, 170046] [463088, 153901]
[463939, 153007] [481015, 144947]
[481992, 144233] [492034, 142882]
[492992, 142042] [502010, 141701]
